Row  ,Par1 ,Par2 ,Smp1 ,Par3 ,Par4 ,Smp2 ,Inst# ,InstName      ,Smp1Desc ,Smp1Note ,Smp2Desc ,Smp2Note

0000 ,0058 ,00c0 ,0000 ,0000 ,00c0 ,0000 ,00    ,PIANO1        ,Piano1   ,A0       ,Piano1   ,A0
0001 ,0058 ,00c1 ,0001 ,0000 ,00c1 ,0001 ,00    ,PIANO1        ,Piano1   ,E1       ,Piano1   ,E1
0002 ,0058 ,00c4 ,0002 ,0000 ,00c4 ,0002 ,00    ,PIANO1        ,Piano1   ,A1       ,Piano1   ,A1
0003 ,0058 ,00c3 ,0003 ,0000 ,00c3 ,0003 ,00    ,PIANO1        ,Piano1   ,E2       ,Piano1   ,E2
0004 ,0058 ,00c2 ,0004 ,0000 ,00c2 ,0004 ,00    ,PIANO1        ,Piano1   ,A2       ,Piano1   ,A2
0005 ,0058 ,00c8 ,0005 ,0000 ,00c8 ,0005 ,00    ,PIANO1        ,Piano1   ,E3       ,Piano1   ,E3
0006 ,0058 ,00bd ,0006 ,0000 ,00bd ,0006 ,00    ,PIANO1        ,Piano1   ,A3       ,Piano1   ,A3
0007 ,0058 ,00be ,0194 ,0000 ,00be ,0194 ,00    ,PIANO1        ,Piano1   ,D4       ,Piano1   ,D4		
0008 ,0058 ,00bf ,0194 ,0000 ,00bf ,0194 ,00    ,PIANO1        ,Piano1   ,D4       ,Piano1   ,D4

0009 ,0000 ,007c ,0007 ,0000 ,007c ,0007 ,01    ,HARPSICHORD1  ,HrpsiH   ,A0       ,HrpsiH   ,A0
000a ,0000 ,0084 ,0009 ,0000 ,0084 ,0009 ,01    ,HARPSICHORD1  ,HrpsiH   ,A1       ,HrpsiH   ,A1
000b ,0000 ,0087 ,000b ,0000 ,0087 ,000b ,01    ,HARPSICHORD1  ,HrpsiH   ,A2       ,HrpsiH   ,A2
000c ,0000 ,0089 ,000d ,0000 ,0089 ,000d ,01    ,HARPSICHORD1  ,HrpsiH   ,A3       ,HrpsiH   ,A3
000d ,0000 ,008b ,000f ,0000 ,008b ,000f ,01    ,HARPSICHORD1  ,HrpsiH   ,A4       ,HrpsiH   ,A4

000e ,0031 ,0045 ,0010 ,0012 ,0045 ,0010 ,02    ,VIBRAPHONE1   ,Sine1    ,A1       ,Sine1    ,A1
000f ,0031 ,002d ,0014 ,0012 ,002d ,0014 ,02    ,VIBRAPHONE1   ,SineM1   ,A1       ,SineM1   ,A1
0010 ,0031 ,0045 ,0010 ,0012 ,0045 ,0010 ,02    ,VIBRAPHONE1   ,Sine1    ,A1       ,Sine1    ,A1 
0011 ,0031 ,002d ,0014 ,0012 ,002d ,0014 ,02    ,VIBRAPHONE1   ,SineM1   ,A1       ,SineM1   ,A1
0012 ,0031 ,0045 ,0011 ,0012 ,0045 ,0011 ,02    ,VIBRAPHONE1   ,Sine1    ,A2       ,Sine1    ,A2
0013 ,0031 ,002d ,0015 ,0012 ,002d ,0015 ,02    ,VIBRAPHONE1   ,SineM1   ,A2       ,SineM1   ,A2
0014 ,0031 ,0045 ,0012 ,0012 ,0045 ,0012 ,02    ,VIBRAPHONE1   ,Sine1    ,A3       ,Sine1    ,A3
0015 ,0031 ,002d ,0016 ,0012 ,002d ,0016 ,02    ,VIBRAPHONE1   ,SineM1   ,A3       ,SineM1   ,A3
0016 ,0031 ,0045 ,0013 ,0012 ,0045 ,0013 ,02    ,VIBRAPHONE1   ,Sine1    ,A4       ,Sine1    ,A4
0017 ,0031 ,002d ,0017 ,0012 ,002d ,0017 ,02    ,VIBRAPHONE1   ,SineM1   ,A4       ,SineM1   ,A4

0018 ,0031 ,0000 ,0018 ,0000 ,00c9 ,0018 ,03    ,DISTGUITAR    ,DistG1   ,A1       ,DistG1   ,A1
0019 ,0031 ,0000 ,001a ,0000 ,00c9 ,001a ,03    ,DISTGUITAR    ,DistG1   ,A2       ,DistG1   ,A2			
001a ,0031 ,0000 ,001d ,0000 ,00c9 ,001d ,03    ,DISTGUITAR    ,DistG1   ,A3       ,DistG1   ,A3
001b ,0031 ,0000 ,001d ,0000 ,00c9 ,001d ,03    ,DISTGUITAR    ,DistG1   ,A3       ,DistG1   ,A3

001c ,0031 ,0018 ,0022 ,0000 ,00df ,0022 ,04    ,SAXOPHONE     ,Horn1    ,A1       ,Horn1    ,A1
001d ,0031 ,0018 ,0023 ,0000 ,00df ,0023 ,04    ,SAXOPHONE     ,Horn1    ,A2       ,Horn1    ,A2
001e ,0031 ,0018 ,0024 ,0000 ,00df ,0025 ,04    ,SAXOPHONE     ,Horn1    ,A4       ,Horn2    ,A4
001f ,0031 ,0018 ,0026 ,0000 ,00df ,0027 ,04    ,SAXOPHONE     ,Horn1    ,A3       ,Horn2    ,A3

0020 ,000b ,0010 ,0028 ,000b ,0096 ,0028 ,05    ,SYNTHREED1    ,SawM1    ,A0       ,SawM1    ,A0
0021 ,000b ,0010 ,0029 ,000b ,0096 ,0029 ,05    ,SYNTHREED1    ,SawM1    ,A1       ,SawM1    ,A1
0022 ,000b ,0010 ,002a ,000b ,0096 ,002a ,05    ,SYNTHREED1    ,SawM1    ,A2       ,SawM1    ,A2
